Country,Survey,Ship,Quarter,InitialYear,FinalYear,x,Priority,y,z,q,SweepLengthMin,SweepLengthMax,Formula,a,b,c,d
GB-SCT,ROCKALL,,,2005,2009,WingSpread,1,Depth,,,,,x=a+b*log(y),10.16,2.01,,
GB-SCT,SCOROC,,,2016,current,DoorSpread,1,Depth,,,,,x=a+b*log(y),35.7,12.94,,
GB-SCT,SCOROC,,,2017,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,8.61,0.12,,
GB-SCT,SCOROC,,,2016,current,WingSpread,2,Depth,,,,,x=a+b*log(y),13.24,1.39,,
GB-SCT,SWC-IBTS,,,2004,2010,DoorSpread,1,Depth,,,,,x=a+b*log(y),-23.35,21.27,,
GB-SCT,SWC-IBTS,,,2004,2010,WingSpread,1,Depth,,,,,x=a+b*log(y),10.16,2.01,,
GB-SCT,SCOWCGFS,,,2016,current,DoorSpread,1,Depth,,,0,60,x=a+b*log(y),-14.74,19.28,,
GB-SCT,SCOWCGFS,,,2016,current,DoorSpread,1,Depth,,,else,else,x=a+b*log(y),-13.52,22.46,,
GB-SCT,SCOWCGFS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,7.55,0.16,,
GB-SCT,SCOWCGFS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,13.94,0.06,,
GB-SCT,SCOWCGFS,,,2016,current,WingSpread,2,Depth,,,0,60,x=a+b*log(y),1.47,4.03,,
GB-SCT,SCOWCGFS,,,2016,current,WingSpread,2,Depth,,,else,else,x=a+b*log(y),10.28,2.01,,
GB-NIR,NIGFS,,,2005,current,DoorSpread,1,Depth,,,,,x=a+b*log(y),7.49,7.7,,
GB-NIR,NIGFS,,,2005,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,5.28,0.27,,
GB-NIR,NIGFS,,,2005,current,WingSpread,2,Depth,,,,,x=a+b*log(y),8.61,1.79,,
FR,FR-CGFS,35TH,,2015,current,DoorSpread,1,Depth,,,,,x=a+b*log(y),-1.31,15.58,,
FR,FR-CGFS,35TH,,2015,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,7.04,0.17,,
FR,FR-CGFS,35TH,,2015,current,WingSpread,2,Depth,,,,,x=a+b*log(y),6.86,2.61,,
FR,EVHOE,,,2016,current,DoorSpread,1,Depth,,,0,60,x=a+b*log(y),-3.34,16.5,,
FR,EVHOE,,,2016,current,DoorSpread,1,Depth,,,else,else,x=a+b*log(y),16.42,15.56,,
FR,EVHOE,,,2016,current,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,9.49,0.14,,
FR,EVHOE,,,2016,current,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,9.95,0.11,,
FR,EVHOE,,,2016,current,WingSpread,2,Depth,,,0,60,x=a+b*log(y),9.07,2.33,,
FR,EVHOE,,,2016,current,WingSpread,2,Depth,,,else,else,x=a+b*log(y),11.71,1.73,,
ES,SP-PORC,,,2016,current,DoorSpread,1,WingSpread,,,,,x=a+b*y,-25.42,7.02,,
ES,SP-PORC,,,2016,current,DoorSpread,2,Depth,,,,,x=a+b*log(y),-31.7,28.81,,
ES,SP-PORC,,,2016,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,9,0.1,,
ES,SP-PORC,,,2016,current,WingSpread,2,Depth,,,,,x=a+b*log(y),10.29,2.03,,
ES,SP-NORTH,,,2016,current,DoorSpread,1,WingSpread,,,,,x=a+b*y,-5.11,5.09,,
ES,SP-NORTH,,,2016,current,DoorSpread,2,Depth,,,,,x=a+b*log(y),4.39,17.62,,
ES,SP-NORTH,,,2016,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,4.74,0.16,,
ES,SP-NORTH,,,2016,current,WingSpread,2,Depth,,,,,x=a+b*log(y),6.73,2.51,,
ES,SP-ARSA,,,2016,current,DoorSpread,1,Depth,,,0,60,x=a+b*log(y),-0.84,14.06,,
ES,SP-ARSA,,,2016,current,DoorSpread,1,Depth,,,else,else,x=a+b*log(y),-4.12,18.97,,
ES,SP-ARSA,,,2016,current,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,4.65,0.23,,
ES,SP-ARSA,,,2016,current,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,8.17,0.13,,
ES,SP-ARSA,,,2016,current,WingSpread,2,Depth,,,0,60,x=a+b*log(y),-0.43,4.69,,
ES,SP-ARSA,,,2016,current,WingSpread,2,Depth,,,else,else,x=a+b*log(y),7.22,2.51,,
IE,IE-IGFS,,,2016,current,DoorSpread,1,Depth,,,0,60,x=a+b*log(y),42.51,9.63,,
IE,IE-IGFS,,,2016,current,DoorSpread,1,Depth,,,else,else,x=a+b*log(y),28.78,17.92,,
IE,IE-IGFS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,12.27,0.11,,
IE,IE-IGFS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,13.32,0.08,,
IE,IE-IGFS,,,2016,current,WingSpread,2,Depth,,,0,60,x=a+b*log(y),12.83,2.1,,
IE,IE-IGFS,,,2016,current,WingSpread,2,Depth,,,else,else,x=a+b*log(y),14.29,1.79,,
IE,IE-IAMS,,,2016,current,DoorSpread,1,Depth,,,,,x=a+b*log(y),18.54,14.07,,
IE,IE-IAMS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,10.16,0.2,,
IE,IE-IAMS,,,2016,current,WingSpread,2,Depth,,,,,x=a+b*log(y),14.69,2.7,,
