Survey,Year,Quarter,SpecCode,Genus,Family,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Ship
NS-IBTS,2019,1,3956,NULL,NULL,NS_PlaiceIIIa,NULL,10,0,2.437,19.947,27.019,17.253,7.917,9.155,4.379,2.494,2.223,2.676,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2019,1,3978,,,NS_Her,NULL,5,0,1535.909,58.68,25.002,8.195,43.325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2019,1,3978,,,NS_Her1to9,NULL,5,0,431.881,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2019,1,3978,,,NS_Her1to7,NULL,5,0,396.885,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2019,1,3992,NULL,NULL,NS_Mack,NULL,6,0,104.176,2.591,0.559,0.044,0.062,0.019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2019,1,4139,,,NS_Saithe,NULL,10,0,0.018,0.061,0.089,0.107,0.298,0.3,0.092,0.044,0.055,0.037,NULL,NULL,NULL,NULL,NULL,NULL
NS-IBTS,2019,3,3938,NULL,NULL,NS_Whit,NULL,6,749.566,375.037,145.446,99.861,28.428,20.008,9.418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3939,NULL,NULL,NS_NorPout,NULL,6,6464.208,2223.454,114.076,18.991,0.665,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3940,NULL,NULL,NS_Cod,NULL,6,4.96,4.308,1.017,1.145,0.235,0.136,0.141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3940,NULL,NULL,NS_CodCat,NULL,6,19.708,0.887,0.155,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3941,NULL,NULL,NS_Had,NULL,6,1927.899,177.092,53.151,62.271,11.752,20.188,0.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3942,NULL,NULL,NS_Test,NULL,10,0.003,0.022,0.021,0.081,0.034,0.118,0.118,0.073,0.027,0.023,0,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3949,,,NS_SpratIV,NULL,6,913.5,6451.797,2371.444,557.542,18.526,0.004,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3949,,,NS_SpratIIIa,NULL,6,38.294,19629.412,5829.905,1310.338,614.336,396.764,86.963,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3956,NULL,NULL,NS_PlaiceIIIa,NULL,10,0,13.386,23.634,21.588,7.567,7.798,9.402,4.217,2.341,1.265,1.688,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3978,,,NS_Her,NULL,5,3236.838,761.931,167.429,111.037,121.807,319.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,3992,NULL,NULL,NS_Mack,NULL,6,6.639,59.632,47.012,21.72,5.936,10.738,14.142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2019,3,4139,,,NS_Saithe,NULL,10,0,0.009,0.218,2.227,3.162,3.038,0.979,0.2,0.106,0.023,0.046,NULL,NULL,NULL,NULL,NULL,NULL
NS-IBTS,2018,1,3949,,,NS_SpratIV,NULL,6,0,3006.951,962.389,82.432,19.131,5.003,5.044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3949,,,NS_SpratIIIa,NULL,6,0,5192.741,415.997,192.93,387.005,104.5,54.173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3939,NULL,NULL,NS_NorPout,NULL,6,0,1138.85,850.448,146.701,7.601,0.847,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
