Area,sub1,sub2,sub3,sub4,sub5
1,2,3,4,7,6
2,1,3,4,6,7
3,1,2,4,5,6
4,2,3,5,6,7
5,4,6,2,3,7
6,2,4,5,7,3
7,2,6,8,3,4
8,9,7,6,,
9,8,7,2,,
10,5,6,4,2,3
